test_p260_.png: psnr=24.025378270774326 ssim=0.8590289310169998 uiqm=1.1429647877736975 uciqe=29.792830379781883
test_p261_.png: psnr=21.104422691089688 ssim=0.834136160679931 uiqm=0.5430921985947097 uciqe=24.387650365019784
test_p262_.png: psnr=23.15330958688942 ssim=0.8822435375731391 uiqm=0.8538288176470755 uciqe=24.75873669810992
test_p263_.png: psnr=15.604006264850392 ssim=0.6274135136222058 uiqm=0.8637503681218265 uciqe=28.941515626347467
test_p265_.png: psnr=22.668515235841987 ssim=0.8441371141529529 uiqm=0.7267492578646575 uciqe=26.83654452189897
test_p266_.png: psnr=23.37321739987 ssim=0.8123031116793896 uiqm=-0.20392994023086497 uciqe=20.94477470131918
test_p267_.png: psnr=17.361584847929347 ssim=0.6520505945147912 uiqm=0.4259873844298161 uciqe=24.431342418506482
test_p269_.png: psnr=18.137770168979323 ssim=0.7226201912635307 uiqm=0.07162739996257317 uciqe=28.129463697854636
test_p270_.png: psnr=23.043976871763235 ssim=0.8233010365889558 uiqm=0.4284950239847347 uciqe=24.413562182136236
test_p271_.png: psnr=17.209012894216762 ssim=0.7361817038345873 uiqm=0.7598320490844136 uciqe=30.390228355109212
test_p273_.png: psnr=19.798224303007665 ssim=0.7448593227019282 uiqm=0.9160069853004121 uciqe=25.001188431618893
